Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2010","2010","tonnes","1573","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2011","2011","tonnes","996","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2012","2012","tonnes","2165","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2013","2013","tonnes","599","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2014","2014","tonnes","807","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2015","2015","tonnes","376","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2016","2016","tonnes","767","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2017","2017","tonnes","206","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2018","2018","tonnes","349","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01341","Apples","2019","2019","tonnes","350","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2010","2010","tonnes","84489","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2011","2011","tonnes","58786","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2012","2012","tonnes","47624","*","Unofficial figure"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2013","2013","tonnes","86108","*","Unofficial figure"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2014","2014","tonnes","43249","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2015","2015","tonnes","53488","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2016","2016","tonnes","50259","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2017","2017","tonnes","45933","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2018","2018","tonnes","65139","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01312","Bananas","2019","2019","tonnes","116265","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2010","2010","tonnes","85923","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2011","2011","tonnes","105130","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2012","2012","tonnes","101164","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2013","2013","tonnes","98926","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2014","2014","tonnes","77330","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2015","2015","tonnes","43714","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2016","2016","tonnes","82658","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2017","2017","tonnes","35616","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2018","2018","tonnes","70781","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01316","Mangoes, mangosteens, guavas","2019","2019","tonnes","97099","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2010","2010","tonnes","2476","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2011","2011","tonnes","6813","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2012","2012","tonnes","341","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2013","2013","tonnes","7127","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2014","2014","tonnes","1703","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2015","2015","tonnes","452","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2016","2016","tonnes","2686","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2017","2017","tonnes","5433","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2018","2018","tonnes","9798","","Official data"
"SCL","Supply Utilization Accounts","165","Pakistan","5910","Export Quantity","01323","Oranges","2019","2019","tonnes","7046","","Official data"
